Index,Date,Name,Tweet
166,Wed Apr 29 03:36:47 +0000 2020,ねこ🐈まる,"「注目すべきは、放射線治療を受けたがん患者は、非担がん患者に比較して、(訳注:COVID-19に関して)重症になるかどうかに、統計学的有意差は無かった」

ASTRO(米国放射線腫瘍学会)が #AACR20 (2020年のオンライン開催された米国がん学会)で発表された武漢の大学病院からのデータを引用しています。 https://t.co/OFppgUN3XK"
167,Wed Apr 29 03:39:03 +0000 2020,はしはし,"Oncologists are very used to see the Kaplan-Meier curve. For COVID-19, the curve shows statistically significant with Y-axis represented by days, not even months. It is a very sad outcome. Thanks, @AACR for providing this opportunity to learn so that we can fight w/data. #AACR20 https://t.co/VtVTqPxd3b"
168,Wed Apr 29 03:40:50 +0000 2020,世界の医療ニュース,"「注目すべきは、放射線治療を受けたがん患者は、非担がん患者に比較して、(訳注:COVID-19に関して)重症になるかどうかに、統計学的有意差は無かった」

ASTRO(米国放射線腫瘍学会)が #AACR20 (2020年のオンライン開催された米国がん学会)で発表された武漢の大学病院からのデータを引用しています。"
169,Wed Apr 29 03:45:30 +0000 2020,SY Investing,"@ScienceMagazine @CellPressNews @MountSinaiNYC Potential therapies to treat #COVID19 hyperinflammation. #CytokineStorm

Targets: GM-CSF, IL-17, IL-23, TNF, IL-6, JAK &amp; IL-1

Companies: $IMAB $HGEN $GSK $RHHBY $SNY $REGN $EUSA $NVS $INCY $AMGN $PFE $LLY $ABBV $BMY $ALPMY $ALXN $KNSA $SOBI $JNJ @Roivant

https://t.co/bLGxRlKKu1"
170,Wed Apr 29 03:48:49 +0000 2020,Marty Makary,This poster was actually the one I was watching when it struck me how awesome the individual poster video format is 😉. Nicely presented @benweinbergmd #AACR20 #PancreaticCancer
171,Wed Apr 29 03:48:58 +0000 2020,Todd Druley,"We are aiming to expand #PrecisionOncology into early-stage cancer, when #cancer is typically easier to cure. #AACR20 #AACR2020 https://t.co/dTrjwWZqge"
172,Wed Apr 29 03:49:22 +0000 2020,Todd Druley,"We announced new #MRD surveillance data from the #TRACERx collaboration with @uclcancer, @TheCrick &amp; @CR_UK at #AACR20. Read the release: https://t.co/9W4ezkbVKv #AACR2020 https://t.co/M2T6pUSaDN"
173,Wed Apr 29 03:57:53 +0000 2020,Angela Snow,"@SeanSachdevMD @subatomicdoc @_ShankarSiva @SBRT_CR @theabzlab @Prof_Nick_James @DrSpratticus I love the virtual format! My PI has funds to send me to conferences every 3 years. I've attended 2 conferences this week alone: #AACR20 and #TAGC20 The questions are lot better, since the moderator can group related questions and participants can ""vote up"" questions they like."
174,Wed Apr 29 03:59:09 +0000 2020,鬼畜メガネ,"「注目すべきは、放射線治療を受けたがん患者は、非担がん患者に比較して、(訳注:COVID-19に関して)重症になるかどうかに、統計学的有意差は無かった」

ASTRO(米国放射線腫瘍学会)が #AACR20 (2020年のオンライン開催された米国がん学会)で発表された武漢の大学病院からのデータを引用しています。"
175,Wed Apr 29 03:59:59 +0000 2020,Yuri A. Gala López,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
176,Wed Apr 29 04:01:35 +0000 2020,chawnte,"Next ""new drug on the horizon"" is an oral SERD (Selective Estrogen Receptor Degrader), GDC-9545. Achieved same efficacy as other SERDs, but at a lower dose.

Currently recruiting patients with #ER+ #MBC. 

#BCSM #AACR20 
https://t.co/7aWgt2Bv60"
177,Wed Apr 29 04:04:47 +0000 2020,Tant de Lys,"「注目すべきは、放射線治療を受けたがん患者は、非担がん患者に比較して、(訳注:COVID-19に関して)重症になるかどうかに、統計学的有意差は無かった」

ASTRO(米国放射線腫瘍学会)が #AACR20 (2020年のオンライン開催された米国がん学会)で発表された武漢の大学病院からのデータを引用しています。 https://t.co/OFppgUN3XK"
178,Wed Apr 29 04:04:52 +0000 2020,Tant de Lys,New data from AACR.  Note that patients w/#cancer who received #radiation did not show statistically significant differences in having any severe events when compared with patients without cancer https://t.co/41pUGEvmeG
179,Wed Apr 29 04:05:09 +0000 2020,There’s Only One Sweden,"For the first time, a blood test helped doctors find and treat cancers in seemingly healthy people https://t.co/iR9ZLFJNTj via @sheridan_kate #AACR20"
180,Wed Apr 29 04:10:03 +0000 2020,OncLive.com,COVID-19: Practical and Immuno-Oncology Insight in Melanoma and Beyond @PAscierto @AACR #coronavirus #COVID19 #AACR20 https://t.co/XgQ8GsU8I6
181,Wed Apr 29 04:11:36 +0000 2020,Sunrise Relay,We continue to learn about impact of #COVID19 on #cancer patients. A number of studies reported at @AACR today continue to expand our knowledge. Now we need a coherent picture. What is clear: many patients with #cancer develop serious illness because of their disease/treatment
182,Wed Apr 29 04:12:18 +0000 2020,Nicole Kuderer,That wraps up #AACR20 Virtual Annual Meeting I. Thank you to everyone for following along and tweeting with us. https://t.co/9L1H0PhT4Y
183,Wed Apr 29 04:19:08 +0000 2020,"Enlightening ""#StayHome"" Results",#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience
184,Wed Apr 29 04:20:18 +0000 2020,Roberta,Today’s @US_FDA approval of an alternative dosing regimen for the immunotherapeutic pembrolizumab was based on results presented at the AACR Virtual Annual Meeting I: https://t.co/B2JeoSAC4N #AACR20
185,Wed Apr 29 04:20:41 +0000 2020,"Irene Helenowski, Ph.D.","#AACR20 starts as a virtual meeting with 54,000 ppl

An important meeting held in this format:
Should others follow?

👉No facility/flight expenses
👉Reduced environment impact
👉Reduce $ to register
👉More can participate globally
👉More important information disseminated https://t.co/OPSjKPNWsG"
186,Wed Apr 29 04:21:56 +0000 2020,Anne,"#AACR20 Reminder that #WordsMatter. Just heard ""Many of our pts are metastatic."" Pts don't metastasize. Tumors do. Pts are not their disease so: ""Many of our pts have metastatic dz."" See our lang of respect guide for all speakers at #ASCO20: https://t.co/ne7tIMJLDC #advocacy https://t.co/ZmDYDXNbIP"
187,Wed Apr 29 04:23:13 +0000 2020,Instituto Finlay,"Avances de #Vacuna cubana contra el cáncer, fueron presentados en colaboración con @RoswellPark en #EEUU. Entre el @centro_cim y dicha institución, existe un convenio de colaboración que está dando evidencias y resultados. #CienciaCubana @BioCubaFarma @DrRobertoMOjeda @DiazCanelB"
188,Wed Apr 29 04:23:34 +0000 2020,Dr Ivan R González,#Cancer | Uso de #olaparib para cáncer de próstata metastásico resistente a castración.
189,Wed Apr 29 04:24:16 +0000 2020,OncoAlert,"Check out this video by the amazing Dr. @CharuAggarwalMD. 

#OncoAlert 
#AACR20"
190,Wed Apr 29 04:24:25 +0000 2020,OncoAlert,#Metabolism (Oncometabolites) and #DDR as targets to treat #cancer . #AACR20 #OncoAlert https://t.co/58jvSF5Skd
191,Wed Apr 29 04:24:29 +0000 2020,OncoAlert,"Dear Colleagues,
Thank you for a great couple of days of science, all of us at @OncoAlert 🚨are very grateful for your support &amp; for helping in keeping colleagues worldwide #OncoAlert!! Thank you #AACR20 &amp; look forward to Part 2⃣.
Ps. Numbers don't lie, this was a success! Kudos! https://t.co/F4edm9zrVC"
192,Wed Apr 29 04:26:07 +0000 2020,Judy Boughey,"#AACR20 plenary on #PARP⛔️➕#immunotherapy resulted in not only ⬆️pathCR (pCR) but also another important measure: residual cancer burden (RCB). 
✅HER2➖20%➡️37%
✅HR➖HER2➖27%➡️47%
✅HR➕HER2➖14%➡️28%
#OncoAlert https://t.co/DraYXx4vwL"
193,Wed Apr 29 04:28:05 +0000 2020,くろお🔮リンカー,Syndax announces positive preclinical profile and initial phase 1 data for the Menin inhibitor SNDX-5613 in adults with relapsed or refractory acute leukemias. #leukemia #AACR20 https://t.co/h4f8uYnZUE https://t.co/g51o4AXVUq
194,Wed Apr 29 04:29:44 +0000 2020,Boris Hadaschik,"Just Out📣at @NEJM 📰In metastatic castration-resistant #prostatecancer that had disease progression while on enzalutamide or abiraterone &amp;had alterations in genes🧬w/a role in homologous recombination repair, olaparib was associated w/longer PFS‼️ #AACR20 https://t.co/UlM259rDgi https://t.co/xSv9nSagiN"
195,Wed Apr 29 04:36:10 +0000 2020,Bruno Larvol,New prospective data on outcomes with IO for NSCLC based on STK11 and KEAP1 status. Certainly limitations with only subset with available NGS results. Some of my best IO responders have been 2 STK11-mut patients. Not ready to skip IO for these patients yet. #AACR20 #LCSM https://t.co/1T8Mwt9hTu
196,Wed Apr 29 04:36:45 +0000 2020,Patricia Juárez Camacho,"Are all viruses bad? @Mark_Cobbold, a scientist &amp; VP Oncology Early Discovery, breaks down one of the most exciting areas of cancer research: viruses that are designed to infect and kill cancer cells. #SciencefromAtoZ #AACR20 https://t.co/Q2Iix6vk6y"
197,Wed Apr 29 04:36:54 +0000 2020,のぞみの会,The latest The のぞみの会 Daily! https://t.co/D5S09IzSL5 Thanks to @cocoha9608 @outsidervoice @cancer_navi #乳がん #aacr20
198,Wed Apr 29 04:37:17 +0000 2020,Chang-il Hwang,Please join us June 22-24 for #AACR20 Virtual Annual Meeting II. There will be thousands of proffered papers covering the spectrum of cancer research presented in minisymposia and in an e-poster platform. https://t.co/uizEwfiVlG
199,Wed Apr 29 04:37:27 +0000 2020,Bruno Larvol,TAK-788 ph2 in pts with EGFR exon 20 insertions treated at 160mg. ORR 43%. Responses seen in pretreated TKI/IO pts as well. Most common AE is GI tox. Food instructions has been updated in this study to improve GI tox. #AACR20 https://t.co/NJOR4A8xK5
200,Wed Apr 29 04:37:49 +0000 2020,一介の放射線科医,"「注目すべきは、放射線治療を受けたがん患者は、非担がん患者に比較して、(訳注:COVID-19に関して)重症になるかどうかに、統計学的有意差は無かった」

ASTRO(米国放射線腫瘍学会)が #AACR20 (2020年のオンライン開催された米国がん学会)で発表された武漢の大学病院からのデータを引用しています。"
201,Wed Apr 29 04:40:34 +0000 2020,PorteusesPIP,"📢 Pr Fabrice @barlesi @GustaveRoussy a présenté en plénière #Covid19etCancer du congrès #AACR20 une analyse précoce de la situation et la manière dont Gustave Roussy s’est adapté avec agilité pour gérer l’épidémie de #covid19.

Lire le communiqué : https://t.co/VPFdDJgHol"
202,Wed Apr 29 04:40:48 +0000 2020,AJ K-Alar,Today’s @US_FDA approval of an alternative dosing regimen for the immunotherapeutic pembrolizumab was based on results presented at the AACR Virtual Annual Meeting I: https://t.co/B2JeoSAC4N #AACR20
203,Wed Apr 29 04:42:53 +0000 2020,Dr Ivan R González,"At #AACR20 Dr Creelan presented data on adoptive TIL therapy for NSCLC.  This is a very interesting approach - surgery of a metastatic lesion, ex vivo TIL expansion, nivolumab, lymphodepletion and TIL reinfusion with further nivolumab  #LCSM https://t.co/ECHtoEoJTG"
204,Wed Apr 29 04:43:06 +0000 2020,Bruno Larvol,A good reminder at #AACR20 from Dr. Sharma about the differences between fundamental immune targets in cancer - different opportunities for benefit from different mechanisms https://t.co/gu7BbOPi24
205,Wed Apr 29 04:44:11 +0000 2020,Bruno Larvol,Clinical activity of TAK-788 - 160 mg qd recommended dose for Phase II #AACR20 https://t.co/BbjUFD1vJD
206,Wed Apr 29 04:45:13 +0000 2020,Lehti Lab,"Read @TrendsinPharma ""The Interplay of the Extracellular Matrix and Stromal Cells as a Drug Target in Stroma-Rich Cancers"" by Muranen (@tarumurmur) and colleagues - https://t.co/SoHGL2ngoO - #CellPressOncology #AACR20"
207,Wed Apr 29 04:47:46 +0000 2020,Dr Ivan R González,"#COVID19 | Un dato bastante e importante  que comparte @LizCancerHealth, en la área #NYC parece existir un índice de mortalidad más alto en #latinos y #afroamericanos que caucásicos y asiáticos, #QuedateEnCasa"
208,Wed Apr 29 04:47:55 +0000 2020,Myriam R Couso,#Covid19: First results from TERAVOLT registry for thoracic cancers show high mortality rate of COVID-19 in pats w/ thoracic malignancies. Mortality rate of COVID-19 in this group does not appear 2 b linked to specific treatmt/comorbidity. Video: https://t.co/QlXez9T5FB #AACR20 https://t.co/wPkHD6ouqF
209,Wed Apr 29 04:48:25 +0000 2020,Marcel Massoud,#Covid19: First results from TERAVOLT registry for thoracic cancers show high mortality rate of COVID-19 in pats w/ thoracic malignancies. Mortality rate of COVID-19 in this group does not appear 2 b linked to specific treatmt/comorbidity. Video: https://t.co/QlXez9T5FB #AACR20 https://t.co/wPkHD6ouqF
210,Wed Apr 29 04:49:30 +0000 2020,Julie Oniszczuk,"Tertiary Lymphoid Structures as biomarkers of response to immunotherapy, live now #AACR20 ! https://t.co/MTsmp8ezB4"
211,Wed Apr 29 04:50:23 +0000 2020,EmbaCubaJapon,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
212,Wed Apr 29 04:51:31 +0000 2020,Elad Sharon,"First up, Dr Zhang presents the experience of taking care of patients with COVID in Wuhan, China.  Lung cancer was the most common cancer seen in patients, but multiple other cancers were noted. #AACR20 https://t.co/LKBTvEtg5w"
213,Wed Apr 29 04:51:47 +0000 2020,Huy Ma,#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience https://t.co/IsqKfLCWo0
214,Wed Apr 29 04:53:27 +0000 2020,Filip Janku,"“These data strongly support the importance of clinical testing for NTRK gene fusions in order to identify those patients most likely to benefit from larotrectinib,” says @DavidHongMD. 

Learn more about his study presented today at #AACR20. https://t.co/2Gg4fqwJ0r #endcancer"
215,Wed Apr 29 04:53:57 +0000 2020,Filip Janku,"Combining the immunotherapy drug durvalumab with chemotherapy achieved improved response in advanced #ovariancancer patients, according to a recent MD Anderson-led study, presented at #AACR20 by our @ShannonWestin:  https://t.co/NXUYjKX0oE #CancerMoonshot #endcancer"
216,Wed Apr 29 04:53:58 +0000 2020,Dr Ivan R González,#Cancer #COVID19 | @chulkimMD comparte algunos puntos importantes a considerar sobre el #Cancer a partir de la pandemia de la autoría del Dr. Louis Voight
217,Wed Apr 29 04:54:55 +0000 2020,Filip Janku,Cancer patients like triple-negative #breastcancer survivor @deb_silverman are among those most vulnerable to #COVID19: https://t.co/4M0pycC7i1 @washingtonpost #AACR20 #endcancer
218,Wed Apr 29 04:55:04 +0000 2020,Filip Janku,"“These variations highlight the need for continued study of #brainmetastases in order to better understand them and potentially find therapeutic targets,” says our Dr. Andy Futreal: https://t.co/0qEDHCjyUS #AACR20 #endcancer"
219,Wed Apr 29 04:55:18 +0000 2020,Filip Janku,The Phase III EMBRACA clinical trial led by our @JenniferLitton showed advanced #breastcancer patients taking talazoparib had better overall health for longer than those on chemotherapy: https://t.co/BdTotwoukm #AACR20 #bcsm #endcancer
220,Wed Apr 29 04:55:28 +0000 2020,Dr Ivan R González,#OncoAlert #AACR20 Long awaited data from TAK-788 (now mobocertinib) in #EGFR exon 20 #NSCLC - this is clearly an unmet need with poor outcomes achieved using standard EGFR TKIs or immunotherapy. TAK-788 has some promising features to help in this setting #LCSM https://t.co/43HKq137Sr
221,Wed Apr 29 04:56:57 +0000 2020,Dr Ivan R González,"#Covid19 and #Cancer lecture in #AACR20 . #OncoAlert
✅No anti-cancer treatment associated with higher mortality
✅Patients treateted with ICI wer NOT more succeptible to infection
✅patchy consolidation risk factor for severe events
✅don´t forget cancer tx. https://t.co/zVXpumDKIv"
222,Wed Apr 29 04:58:22 +0000 2020,Dr Ivan R González,#Cancer #COVID19 | Algunos puntos impotentes a considerar del #AACR20 sobre el manejo oncológico durante #COVID__19
223,Wed Apr 29 04:59:45 +0000 2020,Michael Fisch MD MPH,.@DavidHongMD: site-agnostic Vivtrakvi (larotrectinib) works better for #cancers with NTRK gene fusions vs other mutations. #AACR20 https://t.co/nvBLhcLfXg
224,Wed Apr 29 05:00:17 +0000 2020,Muzaffar Qazilbash,Feasibility of blood testing combined with PET-CT to screen for cancer and guide intervention @ScienceMagazine  #AACR20 #cancerscreening https://t.co/fWAVjO6TUB
225,Wed Apr 29 05:01:18 +0000 2020,Muzaffar Qazilbash,"DNA blood test spots cancers in seemingly cancer-free women, but also produces false alarms #AACR20 #cancerscreening https://t.co/1SOMVbRPU4"
226,Wed Apr 29 05:01:42 +0000 2020,Dr Ivan R González,#COVID19 | Hoy más que nunca es crucial compartir nuestra información con la comunidad médica y el trato cercano con nuestros pacientes. #Cancer
227,Wed Apr 29 05:01:47 +0000 2020,Angel4U,"“Our preclinical data suggest that IPN60090 may be effective in underserved groups of patients who need better treatment options,” says our Dr. Jeffrey Kovacs: https://t.co/nAcAdjEdXQ #AACR20 #CancerMoonshot #endcancer"
228,Wed Apr 29 05:01:54 +0000 2020,Angel4U,Our phase II study of combination of durvalumab and standard chemotherapy in #ovariancancer will be presented today at the virtual #AACR20 meeting!  #gyncsm #CancerMoonshot #endcancer
229,Wed Apr 29 05:03:20 +0000 2020,Dr Ivan R González,"Some of the outstanding questions in #ctDNA #AACR20 by Dr Huntsman @UBC - longitudinal impact, sensitivity, financial burden, and of course some of the advantages arising under the lens of #COVID19 https://t.co/kLg08Cuvce"
230,Wed Apr 29 05:03:32 +0000 2020,Gautam Kollu,Detecting cancer early matters. Kudos to the team at Thrive and @MichaelPellini  for their prospective trial showing that a series of blood tests with low false positive rates can safely enable earlier detection of multiple cancers. Congrats! #aacr20
231,Wed Apr 29 05:09:57 +0000 2020,Pedro Alfredo Castillo,"Avances de #Vacuna cubana contra el cáncer, fueron presentados en colaboración con @RoswellPark en #EEUU. Entre el @centro_cim y dicha institución, existe un convenio de colaboración que está dando evidencias y resultados. #CienciaCubana @BioCubaFarma @DrRobertoMOjeda @DiazCanelB"
232,Wed Apr 29 05:10:03 +0000 2020,OncLive.com,Blood Test Is Feasible for Early Detection Across Multiple Cancers @HopkinsMedicine @AACR #AACR20 https://t.co/4N1346mbwQ
233,Wed Apr 29 05:10:38 +0000 2020,Yuri A. Gala López,"Avances de #Vacuna cubana contra el cáncer, fueron presentados en colaboración con @RoswellPark en #EEUU. Entre el @centro_cim y dicha institución, existe un convenio de colaboración que está dando evidencias y resultados. #CienciaCubana @BioCubaFarma @DrRobertoMOjeda @DiazCanelB https://t.co/V35FL0gi6u"
234,Wed Apr 29 05:12:01 +0000 2020,cunmarket.com,"DNA blood test spots cancers in seemingly cancer-free women, but also produces false alarms #AACR20 #cancerscreening https://t.co/1SOMVbRPU4"
235,Wed Apr 29 05:12:24 +0000 2020,cunmarket.com,Feasibility of blood testing combined with PET-CT to screen for cancer and guide intervention @ScienceMagazine  #AACR20 #cancerscreening https://t.co/fWAVjO6TUB
236,Wed Apr 29 05:13:39 +0000 2020,cunmarket.com,@MethodistHosp @sloan_kettering @MountSinaiNYC @DanaFarber @KimmelCancerCtr https://t.co/Fthgoi57Io
237,Wed Apr 29 05:13:58 +0000 2020,OncoAlert,These are great numbers @AACR - and so are the blockbuster number of residents. Great planning in short order to make #AACR20 virtual.
238,Wed Apr 29 05:17:24 +0000 2020,Julien Defontaines,Data presented at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that use of targeted agents or immunotherapy are not correlated with worst #COVID19 outcome among cancer patients in contrast with chemotherapy https://t.co/z0VqqIJrMJ
239,Wed Apr 29 05:17:38 +0000 2020,Julien Defontaines,"Data  at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that #COVID19 prevalence among cancer patients is a) 12%  b) mortality is close to 15% (similar to general population c)Factors correlated with worst outcome: hemopathy, PS2+, recent chemotherapy https://t.co/Ga25jTRfyz"
240,Wed Apr 29 05:19:35 +0000 2020,Andy Latchford,The results of our Naproxen in #LynchSyndrome Phase I clinical trial presented today at #AACR20 @AACR Naproxen induced activation of resident immune cells in the normal colorectal mucosa #immuneinterception 👇
241,Wed Apr 29 05:20:28 +0000 2020,Adid Naranjo Soto,"Avances de #Vacuna cubana contra el cáncer, fueron presentados en colaboración con @RoswellPark en #EEUU. Entre el @centro_cim y dicha institución, existe un convenio de colaboración que está dando evidencias y resultados. #CienciaCubana @BioCubaFarma @DrRobertoMOjeda @DiazCanelB https://t.co/V35FL0gi6u"
242,Wed Apr 29 05:21:30 +0000 2020,Kristi Rosa,One more time for the folks in the back— #WordsMatter
243,Wed Apr 29 05:21:53 +0000 2020,Kristi Rosa,"Missed #COVID19nCancer plenary in #AACR20 @AACR?
Here’s a thread to catch up on all the fascinating global research presented by:
@AACR @AACRPres #AntoniRibas #LiZhang @marinagarassino @barlesi #CarlosGomez #LouisVoigt #HongbingCai cc:@OncoAlert @COVID19nCCC @ASCO @ASH_hematology"
244,Wed Apr 29 05:22:26 +0000 2020,"Pierre Blanchard, MD",Atezolizumab + enzalutamide not increasing OS or PFS (vs Enza alone) in prostate cancer (CRPC) - HR1.12. No subgroup appears to benefit and no long-term progressors. This seriously questions any role for ICIs in prostate cancer #AACR20 #prostatecancer https://t.co/VBx5PDu0bO
245,Wed Apr 29 05:25:32 +0000 2020,OnkoIv,Targeting #EGFR exon 20 insertion with TAK788 leads to ORR of 43% #AACR20 https://t.co/fYp5lEkShc
246,Wed Apr 29 05:25:55 +0000 2020,Arnaud Bayle,"#AACR20 #COVID19 Dr. Fabrice Barlesi on #COVID19nCancer at Gustave Roussy. Incidence #SARSCoV2 (12%), % asymptomatic (80%), ICU (11%), &amp; death (15%) similar to non-oncology population. Risk factors for poor outcome: ECOG&gt;1, heme malig, adv cancer w/ chemo (not other tx) in 3 mos. https://t.co/st9GCjGirh"
247,Wed Apr 29 05:26:21 +0000 2020,Negina Gencheva,#AACR20 @lfspurr from @DanaFarber and @broadinstitute presents on the genomic correlates of PD-L1 expression and response to immunotherapy in NSCLC. You can learn more in this manuscript published in Annals of Oncology: https://t.co/GDcAUJxack #LCSM @GLambertiMD @meyersonlab https://t.co/xahzpzw5EU
248,Wed Apr 29 05:29:32 +0000 2020,Kristi Rosa,"Excited to have @BrendonStilesMD with us tmrw as we continue our discussions on management of #LungCancer during #COVID19, including updates from #AACR20 
@StephenVLiu @JackWestMD @n8pennell @OncLive @ginacolumbusonc #LCSM @OncoAlert"
249,Wed Apr 29 05:29:57 +0000 2020,Vivian Montero Alejo,Presentan resultados de ensayo clínico CIMAvax en congreso de Asociación para la Investigación del Cáncer en #US. Resultados alentadores de combinar dos inmunoterapias novedosas. @centro_cim @RoswellPark
250,Wed Apr 29 05:30:16 +0000 2020,Kristi Rosa,Blood Test Is Feasible for Early Detection Across Multiple Cancers @HopkinsMedicine @AACR #AACR20 https://t.co/4N1346mbwQ
251,Wed Apr 29 05:30:25 +0000 2020,Kristi Rosa,COVID-19: Practical and Immuno-Oncology Insight in Melanoma and Beyond @PAscierto @AACR #coronavirus #COVID19 #AACR20 https://t.co/XgQ8GsU8I6
252,Wed Apr 29 05:30:28 +0000 2020,Kristi Rosa,TIL Therapy Elicits Encouraging Activity in Advanced NSCLC @MoffittNews @AACR #lcsm #AACR20 https://t.co/qxwMwtrTrR
253,Wed Apr 29 05:30:33 +0000 2020,Kristi Rosa,Positive Safety Profile Reported for Atezolizumab/Axi-Cel Combo in DLBCL @DanaFarber @AACR #lymsm #AACR20 https://t.co/sZhSb8dbdB
254,Wed Apr 29 05:30:48 +0000 2020,ESMO - Eur. Oncology,#AACR20 @lfspurr from @DanaFarber and @broadinstitute presents on the genomic correlates of PD-L1 expression and response to immunotherapy in NSCLC. You can learn more in this manuscript published in Annals of Oncology: https://t.co/GDcAUJxack #LCSM @GLambertiMD @meyersonlab https://t.co/xahzpzw5EU
255,Wed Apr 29 05:30:49 +0000 2020,Kristi Rosa,Adopting Multidisciplinary and Evolving Care Plans Are Essential to Treat Cancer and COVID-19 @Hospital12deOct @AACR #COVID19 #coronavirus #AACR20 https://t.co/8ZAKK5KC40
256,Wed Apr 29 05:30:53 +0000 2020,Kristi Rosa,"Clinical Factors Predict Deterioration Among Patients With Cancer, COVID-19 @barlesi @GustaveRoussy @AACR #coronavirus #COVID19 #AACR20 https://t.co/FDtUuutt8w"
257,Wed Apr 29 05:30:56 +0000 2020,Kristi Rosa,Bispecific CD19/CD22 CAR T Cells Active in Pediatric Relapsed ALL @NCIResearchCtr @AACR #AACR20 #leusm https://t.co/9i0ji0YNCf
258,Wed Apr 29 05:31:07 +0000 2020,Kristi Rosa,Novel Innate Immune Activator Boosts PD-1 Inhibition Responses in mTNBC @JohnWayneCI @SaintJohns2 @AACR #bcsm #AACR20 https://t.co/cdaVe8HCdV
259,Wed Apr 29 05:31:20 +0000 2020,ESMO - Eur. Oncology,"cfDNA sequencing leveraging informative methylation patterns detected more than 50 cancer types across stages. Considering the potential value of early detection in deadly malignancies, further evaluation of this test is justified in prospective population-level studies. https://t.co/MabdIDGsFI"
260,Wed Apr 29 05:33:08 +0000 2020,Ryan Noor,This was the structural disclosure many were waiting for at #AACR20 @AACR: Matthew LaMarche of @NovartisScience raising the curtain for clinical SHP2 inhibitor #TNO155. Structurally quite distinct from previous tool SHP099 in order to address phototox &amp; off-target liabilities https://t.co/iOeyie4nia
261,Wed Apr 29 05:33:30 +0000 2020,Hugo Arasanz,#AACR20 @lfspurr from @DanaFarber and @broadinstitute presents on the genomic correlates of PD-L1 expression and response to immunotherapy in NSCLC. You can learn more in this manuscript published in Annals of Oncology: https://t.co/GDcAUJxack #LCSM @GLambertiMD @meyersonlab https://t.co/xahzpzw5EU
262,Wed Apr 29 05:34:43 +0000 2020,ESMO - Eur. Oncology,#AACR20 Here is the link to the paper published in Annals of Oncology by Zhang et al on the clinical characteristics of patients with cancer infected by #COVID19 https://t.co/qSrRxJLMvY https://t.co/STAKx1RkSR
263,Wed Apr 29 05:35:15 +0000 2020,Sanjay Mukhopadhyay,"I’m with Joshua. This pathologic obsession with secrecy in medical conferences is so 20th century.

Isn’t the goal to make great medical breakthroughs and other key medical information freely available to everyone as quickly as possible using all available technology?"
264,Wed Apr 29 05:35:33 +0000 2020,Tina Han,"Talk from #TRACERx about the use ctDNA in early stage lung cancer to predict patient relapse after surgery, correlating it with minimum residual disease:
⬆️ pre-op ctDNA shedding associated with longer MRD lead-times and shorter DFS times post-op
#AACR20 #AACR2020 #lcsm https://t.co/eqtjL1ypV1"
265,Wed Apr 29 05:38:42 +0000 2020,Clare Turnbull Dr/Prof #FBPE,#AACR20 @lfspurr from @DanaFarber and @broadinstitute presents on the genomic correlates of PD-L1 expression and response to immunotherapy in NSCLC. You can learn more in this manuscript published in Annals of Oncology: https://t.co/GDcAUJxack #LCSM @GLambertiMD @meyersonlab https://t.co/xahzpzw5EU
266,Wed Apr 29 05:42:11 +0000 2020,Melinda V Inman,TIL Therapy Elicits Encouraging Activity in Advanced NSCLC https://t.co/7xPmSfSQZA #AACR20 #LCSM
267,Wed Apr 29 05:42:18 +0000 2020,Melinda V Inman,FDA Grants Mobocertinib (TAK-788) Breakthrough Designation for EGFR Exon 20-Mutant NSCLC https://t.co/VbM00DvgxX #AACR20 #LCSM
268,Wed Apr 29 05:43:02 +0000 2020,Joan Climent,"Check recent content @NatureCancer
 about #ctDNA and #LiquidBiopsy in cancer:

- #Immunotherapy in SCLC and NSCLC, ITH, clinical implementation, and more!

https://t.co/OMPFaRGU65
https://t.co/SXvHYm5Hmw
https://t.co/e26wYMedBV
https://t.co/CErTHIOYvA

#AACR20 https://t.co/agOl6k5Zfh"
269,Wed Apr 29 05:43:46 +0000 2020,LUIS REY,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
270,Wed Apr 29 05:43:54 +0000 2020,Jean-baptiste Assié,"Tertiary Lymphoid Structures as biomarkers of response to immunotherapy, live now #AACR20 ! https://t.co/MTsmp8ezB4"
